basename,dirname,is_bad,block,day,run,strain_name,strain_code,channel,timestamp
0.1_eg4725_6a_Set0_Pos0_Ch2_08012018_154434.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,EG4725,6A,2,2018-01-08 15:44:34
0.1_ju775_7a_Set0_Pos0_Ch1_08012018_142323.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,JU775,7A,1,2018-01-08 14:23:23
0.1_jt11398_77_Set0_Pos0_Ch3_08012018_141721.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,JT11398,77,3,2018-01-08 14:17:21
0.1_jt11398_77_Set0_Pos0_Ch3_08012018_153457.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,JT11398,77,3,2018-01-08 15:34:57
0.1_jt11398_77_Set0_Pos0_Ch4_08012018_141721.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,JT11398,77,4,2018-01-08 14:17:21
0.1_jt11398_77_Set0_Pos0_Ch4_08012018_153457.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,JT11398,77,4,2018-01-08 15:34:57
0.1_eg4725_6a_Set0_Pos0_Ch5_08012018_141113.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,EG4725,6A,5,2018-01-08 14:11:13
0.1_eg4725_6a_Set0_Pos0_Ch6_08012018_141113.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,EG4725,6A,6,2018-01-08 14:11:13
0.1_n2_6b_Set0_Pos0_Ch5_08012018_152556.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/Agg_0.1_180108,False,0,1,0,N2,6B,5,2018-01-08 15:25:56
0.2_eg4725_6a_Set0_Pos0_Ch1_10012018_105115.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,EG4725,6A,1,2018-01-10 10:51:15
0.2_eg4725_6a_Set0_Pos0_Ch2_10012018_105115.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,EG4725,6A,2,2018-01-10 10:51:15
0.2_jt11398_77_Set0_Pos0_Ch2_10012018_153427.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JT11398,77,2,2018-01-10 15:34:27
0.2_my16_74_Set0_Pos0_Ch1_10012018_094256.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,MY16,74,1,2018-01-10 09:42:56
0.2_my16_74_Set0_Pos0_Ch1_10012018_132157.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,MY16,74,1,2018-01-10 13:21:57
0.2_my16_74_Set0_Pos0_Ch1_10012018_143017.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,MY16,74,1,2018-01-10 14:30:17
0.2_my16_74_Set0_Pos0_Ch2_10012018_094256.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,MY16,74,2,2018-01-10 09:42:56
0.2_my16_74_Set0_Pos0_Ch2_10012018_132157.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,MY16,74,2,2018-01-10 13:21:57
0.2_my16_74_Set0_Pos0_Ch2_10012018_143017.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,MY16,74,2,2018-01-10 14:30:17
0.2_n2_6b_Set0_Pos0_Ch2_10012018_120443.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,N2,6B,2,2018-01-10 12:04:43
0.2_n2_6b_Set0_Pos0_Ch1_10012018_120443.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,N2,6B,1,2018-01-10 12:04:43
0.2_jt11398_77_Set0_Pos0_Ch3_10012018_093314.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JT11398,77,3,2018-01-10 09:33:14
0.2_jt11398_77_Set0_Pos0_Ch3_10012018_115342.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JT11398,77,3,2018-01-10 11:53:42
0.2_jt11398_77_Set0_Pos0_Ch4_10012018_093314.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JT11398,77,4,2018-01-10 09:33:14
0.2_jt11398_77_Set0_Pos0_Ch4_10012018_115342.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JT11398,77,4,2018-01-10 11:53:42
0.2_ju258_95_Set0_Pos0_Ch3_10012018_131130.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JU258,95,3,2018-01-10 13:11:30
0.2_ju258_95_Set0_Pos0_Ch3_10012018_152833.hdf5,/Volumes/behavgenom_archive$/Serena/AggregationScreening/MaskedVideos/agg_0.2_180110,False,0,2,0,JU258,95,3,2018-01-10 15:28:33
